model,dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
anthropic/claude-sonnet-4.6,full_explicit,14,445.93914669990664,791,118948,9803141,1279985,11202865,27.657142857142855,0.8571428571428571,1.0,0.9271428571428572,0.9292857142857143,0.9714285714285714,0.6428571428571429,1.511111111111111
anthropic/claude-sonnet-4.6,goal_miss,14,525.7218576271855,893,130390,11759948,1315932,13207163,30.071428571428573,0.8857142857142858,0.9285714285714286,0.9064285714285714,0.9500000000000001,0.9642857142857143,0.5,1.9285714285714286
anthropic/claude-sonnet-4.6,goal_ambiguity,14,542.0546602772873,919,136188,12154978,1325390,13617475,30.571428571428573,0.9142857142857144,0.9857142857142858,0.9492857142857142,0.965,0.9714285714285714,0.7142857142857143,1.3599999999999999
anthropic/claude-sonnet-4.6,action_miss,14,434.8176414462886,786,114443,9553075,1255167,10923471,26.75714285714286,0.37142857142857144,0.8428571428571429,0.6035714285714285,0.7297571428571429,0.4714285714285714,0.07142857142857142,6.6000000000000005
anthropic/claude-sonnet-4.6,action_ambiguity,14,505.11892621778105,872,134944,11238553,1315208,12689577,29.242857142857144,0.5285714285714286,0.8142857142857143,0.6678571428571428,0.8150000000000001,0.5714285714285714,0.35714285714285715,1.5999999999999999
anthropic/claude-sonnet-4.6,tool_miss,14,481.67772094029516,849,118667,10692837,1288335,12100688,29.114285714285717,0.7714285714285715,0.9285714285714286,0.8492857142857143,0.8531000000000001,0.8285714285714285,0.42857142857142855,1.9333333333333333
anthropic/claude-sonnet-4.6,tool_ambiguity,14,501.42904679125564,862,127766,11132093,1336159,12596880,29.814285714285713,0.9428571428571428,0.9571428571428572,0.9500000000000001,0.9492857142857144,0.9857142857142858,0.7857142857142857,1.2545454545454546
moonshotai/kimi-k2.5,full_explicit,14,322.66103350704054,272853,94740,5215488,0,5583081,20.514285714285712,0.9857142857142858,0.9857142857142858,0.9846153846153847,0.9857142857142858,1.0,0.9285714285714286,1.0769230769230769
moonshotai/kimi-k2.5,goal_miss,14,423.1162137994164,324180,101741,6895360,0,7321281,22.97142857142857,1.0,0.9285714285714286,0.9615384615384616,0.9642857142857143,0.9285714285714286,0.9285714285714286,1.0
moonshotai/kimi-k2.5,goal_ambiguity,14,383.00800068627086,305810,99645,6221824,0,6627279,21.771428571428572,0.9571428571428572,0.9285714285714286,0.9384615384615385,0.9428571428571428,0.9214285714285715,0.8571428571428571,1.0750000000000002
moonshotai/kimi-k2.5,action_miss,14,369.63986775347263,293888,97087,6004992,0,6395967,21.37142857142857,0.34285714285714286,0.7714285714285715,0.5615384615384615,0.5214285714285715,0.36428571428571427,0.07142857142857142,5.1
moonshotai/kimi-k2.5,action_ambiguity,14,480.58250645231294,374133,128125,7813376,0,8315634,26.285714285714285,0.4571428571428572,0.7857142857142857,0.6307692307692307,0.5857142857142856,0.5071428571428571,0.21428571428571427,2.3666666666666667
moonshotai/kimi-k2.5,tool_miss,14,379.00869167038513,301624,102982,6153472,0,6558078,22.342857142857145,0.8142857142857143,0.8857142857142858,0.8384615384615385,0.85,0.7785714285714286,0.7142857142857143,1.09
moonshotai/kimi-k2.5,tool_ambiguity,14,412.9986861311014,347550,103753,6694912,0,7146215,23.928571428571427,1.0,0.9428571428571428,0.9692307692307692,0.9714285714285714,0.9714285714285714,0.9285714285714286,1.0461538461538462
openai/gpt-5.1,full_explicit,14,274.76394438868124,1289227,56693,3643008,0,4988928,20.428571428571427,0.5285714285714286,0.9428571428571428,0.7230769230769231,0.7142857142857143,0.7999999999999999,0.21428571428571427,3.7333333333333334
openai/gpt-5.1,goal_miss,14,374.1498490443139,1474123,78025,5241344,0,6793492,25.2,0.4857142857142857,0.8428571428571429,0.6230769230769231,0.6357142857142858,0.6642857142857144,0.07142857142857142,9.300000000000002
openai/gpt-5.1,goal_ambiguity,14,291.7627648638547,1247215,60347,3990016,0,5297578,21.37142857142857,0.4714285714285714,0.9285714285714286,0.6692307692307692,0.6785714285714286,0.6857142857142857,0.07142857142857142,9.600000000000001
openai/gpt-5.1,action_miss,14,330.9073060891618,1434352,69659,4504320,0,6008331,22.985714285714288,0.15714285714285717,0.8142857142857143,0.46923076923076923,0.43571428571428567,0.2357142857142857,0.0,
openai/gpt-5.1,action_ambiguity,14,340.85204289642286,1466393,82634,4639872,0,6188899,24.62857142857143,0.09999999999999999,0.7714285714285715,0.4153846153846154,0.39999999999999997,0.19999999999999998,0.0,
openai/gpt-5.1,tool_miss,14,253.872936510945,1182106,54829,3372672,0,4609607,18.957142857142856,0.39999999999999997,0.8857142857142858,0.6307692307692307,0.6285714285714287,0.6285714285714287,0.07142857142857142,8.800000000000002
openai/gpt-5.1,tool_ambiguity,14,320.5771562066204,1444665,59556,4316544,0,5820765,23.62857142857143,0.5571428571428572,0.9428571428571428,0.7230769230769231,0.7142857142857143,0.75,0.14285714285714285,5.25
openai/gpt-5.4,full_explicit,14,262.892989944974,1947807,70609,3206784,0,5225200,24.014285714285712,0.9,0.9571428571428572,0.9230769230769231,0.9285714285714286,0.9642857142857143,0.6428571428571429,1.5
openai/gpt-5.4,goal_miss,14,302.3780559590702,2157589,76279,3776128,0,6009996,26.7,0.9714285714285714,0.9285714285714286,0.9461538461538462,0.9500000000000001,0.9285714285714286,0.7857142857142857,1.1818181818181819
openai/gpt-5.4,goal_ambiguity,14,292.399674096212,2183484,77976,3550208,0,5811668,26.685714285714283,0.9571428571428572,0.9142857142857144,0.9307692307692308,0.9357142857142857,0.9285714285714286,0.7142857142857143,1.3
openai/gpt-5.4,action_miss,14,258.652650590966,2001829,70675,3068416,0,5140920,24.185714285714287,0.21428571428571427,0.7571428571428571,0.4846153846153846,0.45,0.2285714285714286,0.07142857142857142,3.2000000000000006
openai/gpt-5.4,action_ambiguity,14,329.1804420529052,2387213,95725,4059776,0,6542714,29.599999999999998,0.37142857142857144,0.7714285714285715,0.5769230769230769,0.5357142857142857,0.42142857142857143,0.0,
openai/gpt-5.4,tool_miss,14,292.41481816533343,2193507,75550,3542912,0,5811969,25.314285714285717,0.8571428571428571,0.9142857142857144,0.8769230769230769,0.8857142857142858,0.8571428571428571,0.6428571428571429,1.3333333333333333
