model,category,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
moonshotai/kimi-k2.5,01_information_intelligence_agent,14,76.954,174080,70505,3763200,0,4007785,15.714285714285714,0.7428571428571429,0.8857142857142858,0.7714285714285715,0.9357142857142857,0.7785714285714286,0.7142857142857143,1.09
moonshotai/kimi-k2.5,02_content_creation_pipeline_agent,21,89.66159999999999,727868,241347,16361472,0,17330687,31.447619047619046,0.7714285714285714,0.8857142857142858,0.8285714285714285,0.8761904761904761,0.8285714285714285,0.5714285714285714,1.45
moonshotai/kimi-k2.5,03_platform_automation_agent,21,59.22619999999999,442459,136298,7576320,0,8155077,23.438095238095237,0.8571428571428571,1.0,0.9285714285714286,0.8920761904761905,0.8999999999999999,0.7619047619047619,1.18125
moonshotai/kimi-k2.5,04_personal_ai_second_brain_agent,21,68.9428,294626,113111,6319104,0,6726841,16.485714285714284,0.6666666666666666,0.8095238095238095,0.7380952380952381,0.9028571428571429,0.5523809523809524,0.5238095238095238,1.0545454545454545
moonshotai/kimi-k2.5,05_self_healing_devops_agent,21,77.7002,581005,166812,10979328,0,11727145,24.276190476190475,0.9142857142857143,0.8666666666666666,0.8904761904761904,0.9485714285714286,0.8476190476190476,0.7619047619047619,1.1125
openai/gpt-5.1,01_information_intelligence_agent,14,90.283,1134950,37438,4018560,0,5190948,21.442857142857143,0.5142857142857143,0.9285714285714286,0.5142857142857143,0.7821428571428571,0.8071428571428572,0.07142857142857142,11.3
openai/gpt-5.1,02_content_creation_pipeline_agent,21,82.429,2962531,155649,11814400,0,14932580,34.02857142857143,0.3523809523809524,0.6952380952380952,0.5238095238095238,0.5633333333333334,0.5142857142857143,0.09523809523809523,5.400000000000001
openai/gpt-5.1,03_platform_automation_agent,21,47.033,2141319,89241,5541504,0,7772064,24.771428571428572,0.4666666666666667,1.0,0.7333333333333334,0.6175142857142857,0.7714285714285714,0.047619047619047616,16.2
openai/gpt-5.1,04_personal_ai_second_brain_agent,21,56.311800000000005,1661692,67388,4846976,0,6576056,17.81904761904762,0.3523809523809524,0.8571428571428571,0.6047619047619047,0.7295238095238096,0.4523809523809524,0.047619047619047616,9.5
openai/gpt-5.1,05_self_healing_devops_agent,21,53.846000000000004,1637589,112027,3486336,0,5235952,13.885714285714286,0.2857142857142857,0.9142857142857143,0.6,0.5047619047619047,0.3666666666666667,0.14285714285714285,2.566666666666667
openai/gpt-5.4,01_information_intelligence_agent,14,54.321600000000004,1553450,47799,2815104,0,4416353,22.0,0.7285714285714285,0.8714285714285713,0.7428571428571429,0.9321428571428572,0.7571428571428571,0.7142857142857143,1.0599999999999998
openai/gpt-5.4,02_content_creation_pipeline_agent,21,64.229,4788588,207131,6670720,0,11666439,30.219047619047622,0.7809523809523808,0.9142857142857143,0.8476190476190476,0.9004761904761904,0.8809523809523809,0.38095238095238093,2.3125
openai/gpt-5.4,03_platform_automation_agent,21,65.297,3372230,108669,5326592,0,8807491,30.98095238095238,0.8095238095238095,1.0,0.9047619047619048,0.9031619047619047,0.8857142857142858,0.5714285714285714,1.5500000000000003
openai/gpt-5.4,04_personal_ai_second_brain_agent,21,51.067,2411505,77134,4877056,0,7365695,22.228571428571428,0.6380952380952382,0.7714285714285714,0.7047619047619048,0.8742857142857142,0.5238095238095238,0.5238095238095238,1.0
openai/gpt-5.4,05_self_healing_devops_agent,21,54.5646,3299943,115384,5567872,0,8983199,24.933333333333334,0.7523809523809524,0.8571428571428571,0.8047619047619047,0.8247619047619048,0.7047619047619048,0.47619047619047616,1.4800000000000002
openai/gpt-5.4-mini,01_information_intelligence_agent,14,44.83,967746,25066,2162944,0,3155756,14.885714285714286,0.7714285714285715,0.9571428571428572,0.8571428571428571,0.9321428571428572,0.8571428571428571,0.5714285714285714,1.5
openai/gpt-5.4-mini,02_content_creation_pipeline_agent,21,67.9162,3006516,120762,9260800,0,12388078,29.447619047619046,0.47619047619047616,0.9238095238095237,0.7,0.7028571428571428,0.6857142857142857,0.09523809523809523,7.2
openai/gpt-5.4-mini,03_platform_automation_agent,21,53.651199999999996,1887469,78429,5458944,0,7424842,24.799999999999997,0.7428571428571429,0.980952380952381,0.861904761904762,0.8308095238095238,0.9238095238095237,0.38095238095238093,2.425
openai/gpt-5.4-mini,04_personal_ai_second_brain_agent,21,52.330200000000005,1662759,46561,4643072,0,6352392,17.152380952380952,0.5809523809523809,0.8666666666666666,0.7238095238095238,0.8323809523809524,0.5952380952380952,0.38095238095238093,1.5625
openai/gpt-5.4-mini,05_self_healing_devops_agent,21,40.834799999999994,1763345,57686,4405376,0,6226407,16.123809523809523,0.47619047619047616,0.7904761904761906,0.6333333333333334,0.6285714285714287,0.4904761904761905,0.14285714285714285,3.4333333333333336
