model,dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
anthropic/claude-opus-4.6,full_explicit,14,415.49497194328325,2100556,47454,3754788,0,5902798,22.523807142857144,1.0,1.0,0.9964285714285713,1.0,1.0,1.0,1.0
anthropic/claude-opus-4.6,goal_miss,14,436.4402813264536,2271369,50228,3878764,0,6200361,23.40477142857143,1.0,0.9285714285714286,0.9607142857142856,1.0,0.9285714285714286,0.9285714285714286,1.0
anthropic/claude-opus-4.6,goal_ambiguity,14,451.2199636498079,2205709,50855,4153767,0,6410331,23.571414285714287,1.0,0.9285714285714286,0.9571428571428572,1.0,0.9285714285714286,0.9285714285714286,1.0
anthropic/claude-opus-4.6,action_miss,14,498.30377859871004,2424552,61014,4593669,0,7079235,27.99999285714286,0.5952381428571429,0.8095237857142857,0.6988094285714286,0.8940476190476191,0.5714285714285714,0.35714285714285715,1.5999999999999999
anthropic/claude-opus-4.6,action_ambiguity,14,520.4989238600224,2444420,67629,4882505,0,7394554,29.119049999999998,0.6428571428571429,0.9285714285714286,0.7821428571428571,0.9333333333333333,0.7142857142857143,0.5714285714285714,1.25
anthropic/claude-opus-4.6,tool_miss,14,612.1720204346981,2982927,61335,5652661,0,8696923,29.285714285714285,0.9047619285714286,0.9285714285714286,0.9166666428571428,0.9249999999999999,0.9285714285714286,0.8571428571428571,1.0833333333333335
anthropic/claude-opus-4.6,tool_ambiguity,14,483.9910601870247,2462079,53738,4360082,0,6875899,25.142850000000003,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,1.0
anthropic/claude-sonnet-4.6,full_explicit,14,530.9448543668868,6127815,61759,769574,0,6959148,24.476185714285716,1.0,1.0,1.0,1.0,1.0,1.0,1.0
anthropic/claude-sonnet-4.6,goal_miss,14,519.6480774199968,6756012,55068,0,0,6811080,24.142850000000003,0.8809525,0.9285714285714286,0.9047617857142857,0.9190476190476191,0.9285714285714286,0.5714285714285714,1.6250000000000002
anthropic/claude-sonnet-4.6,goal_ambiguity,14,529.179551769451,6878017,57993,0,0,6936010,24.166657142857144,0.9285715,0.9285714285714286,0.9285713571428572,0.9523809523809524,0.9285714285714286,0.7142857142857143,1.3
anthropic/claude-sonnet-4.6,action_miss,14,504.0861316423064,6551907,55201,0,0,6607108,23.785707142857145,0.38095235714285713,0.7142857142857143,0.5440476428571428,0.7991904761904761,0.42857142857142855,0.14285714285714285,3.0
anthropic/claude-sonnet-4.6,action_ambiguity,14,614.6857192188911,7985439,71309,0,0,8056748,27.714278571428572,0.5476190714285715,0.7380952142857142,0.6392857142857142,0.8595238095238095,0.5,0.35714285714285715,1.4
anthropic/claude-sonnet-4.6,tool_miss,14,588.9928530502539,7655552,64437,0,0,7719989,26.547614285714285,0.952381,1.0,0.9761904285714286,0.9619047619047619,1.0,0.8571428571428571,1.1666666666666667
anthropic/claude-sonnet-4.6,tool_ambiguity,14,595.1228125322139,7736105,64230,0,0,7800335,27.04762142857143,0.9761905000000001,1.0,0.9880952142857142,0.9857142857142858,1.0,0.9285714285714286,1.0769230769230769
bailian/qwen3.6-plus,full_explicit,14,373.67810537564236,5127855,80838,0,0,5208693,21.857135714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bailian/qwen3.6-plus,goal_miss,14,395.78122335086357,5437175,79613,0,0,5516788,23.357149999999997,1.0,0.9523809285714285,0.9761905000000001,1.0,1.0,0.9285714285714286,1.0769230769230769
bailian/qwen3.6-plus,goal_ambiguity,14,410.538899033133,5641334,81161,0,0,5722495,24.166671428571426,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,1.0
bailian/qwen3.6-plus,action_miss,14,509.63019829845916,7006367,97360,0,0,7103727,27.57142142857143,0.5952380714285714,0.7619047857142858,0.6749999999999999,0.8845238095238095,0.6428571428571429,0.35714285714285715,1.8
bailian/qwen3.6-plus,action_ambiguity,14,575.907699112644,7913962,113606,0,0,8027568,31.761907142857144,0.6190476428571429,0.8571428571428571,0.7345237857142858,0.9047619047619048,0.7142857142857143,0.5,1.4285714285714286
bailian/qwen3.6-plus,tool_miss,14,524.020845786304,7211228,93090,0,0,7304318,26.214292857142855,0.9761905000000001,0.9285714285714286,0.9523809285714285,0.9904761904761905,0.9285714285714286,0.8571428571428571,1.0833333333333335
bailian/qwen3.6-plus,tool_ambiguity,14,424.1880290429537,5825652,87098,0,0,5912750,24.666671428571426,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,1.0
deepseek/deepseek-v3.2,full_explicit,14,0.0,681888,40842,4978752,0,5701482,22.333335714285713,0.5952381428571429,1.0,0.797619,0.7761904761904762,0.6428571428571429,0.5,1.2857142857142858
deepseek/deepseek-v3.2,goal_miss,14,0.0,993099,37066,4246272,0,5276437,21.04762142857143,0.5238094999999999,0.8571428571428571,0.6904761428571428,0.7523809523809524,0.6428571428571429,0.35714285714285715,1.8
deepseek/deepseek-v3.2,goal_ambiguity,14,0.0,697244,40363,4988096,0,5725703,22.42857857142857,0.5952381428571429,0.8809523571428571,0.7380952142857142,0.7619047619047619,0.6428571428571429,0.42857142857142855,1.5000000000000002
deepseek/deepseek-v3.2,action_miss,14,0.0,1607493,56187,6774656,0,8438336,30.261907142857144,0.3095237857142857,0.8571428571428571,0.5809523571428572,0.6741904761904761,0.5,0.07142857142857142,7.0
deepseek/deepseek-v3.2,action_ambiguity,14,0.0,2491125,63713,6230336,0,8785174,30.547607142857142,0.2857142857142857,0.8333332857142857,0.5571428571428572,0.6773571428571429,0.42857142857142855,0.14285714285714285,3.0
deepseek/deepseek-v3.2,tool_miss,14,0.0,1102769,38964,4377408,0,5519141,22.166664285714287,0.42857142857142855,0.9285714285714286,0.6785714285714286,0.6666666666666667,0.42857142857142855,0.42857142857142855,1.0
deepseek/deepseek-v3.2,tool_ambiguity,14,0.0,1306900,45511,5083840,0,6436251,24.357135714285715,0.5000000714285714,0.9285714285714286,0.7142856428571429,0.7035714285714285,0.5714285714285714,0.35714285714285715,1.5999999999999999
google/gemini-3.1-pro-preview,full_explicit,14,273.98276235120983,998252,118191,2343262,0,3459705,22.023807142857144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
google/gemini-3.1-pro-preview,goal_miss,14,352.0212903581434,1252585,119903,3072645,0,4445133,25.69047142857143,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,1.0
google/gemini-3.1-pro-preview,goal_ambiguity,14,339.28626179459235,1183900,111455,2988967,0,4284322,25.214285714285715,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,0.9285714285714286,1.0
google/gemini-3.1-pro-preview,action_miss,14,573.93972142094,1810733,145396,5291269,0,7247398,35.476192857142856,0.5952380714285714,0.9047619285714286,0.7464285714285713,0.903547619047619,0.6428571428571429,0.5,1.2857142857142858
google/gemini-3.1-pro-preview,action_ambiguity,14,478.0558714426292,1740334,165115,4131180,0,6036629,32.30952142857143,0.6904762142857143,0.8571428571428571,0.7702380714285715,0.905952380952381,0.7142857142857143,0.6428571428571429,1.1111111111111112
google/gemini-3.1-pro-preview,tool_miss,14,347.78338176638124,1197769,114089,3079761,0,4391619,25.7619,1.0,0.9761905000000001,0.9964285714285713,1.0,1.0,0.9285714285714286,1.0769230769230769
google/gemini-3.1-pro-preview,tool_ambiguity,14,357.85271086610396,1269895,142897,3105977,0,4518769,26.214278571428572,1.0,0.8809524285714286,0.9404761428571428,1.0,0.9285714285714286,0.7857142857142857,1.1818181818181819
minimax/minimax-m2.7,full_explicit,14,473.31436915962684,639182,67231,4080598,0,4787011,22.7619,0.9761905000000001,1.0,0.9880952142857142,0.9880952380952381,1.0,0.9285714285714286,1.0769230769230769
minimax/minimax-m2.7,goal_miss,14,557.6267209706897,658540,67450,4913740,0,5639730,25.690485714285717,0.9761905000000001,0.8809523571428571,0.9285714285714286,1.0,0.9285714285714286,0.8571428571428571,1.0833333333333335
minimax/minimax-m2.7,goal_ambiguity,14,550.8816853659393,637126,59078,4875308,0,5571512,25.023799999999998,1.0,0.9047619285714286,0.9523809285714285,1.0,0.9285714285714286,0.8571428571428571,1.0833333333333335
minimax/minimax-m2.7,action_miss,14,552.9464861301659,663884,92762,4835749,0,5592395,28.166671428571426,0.452381,0.7142857142857143,0.5797618571428572,0.8761666666666666,0.35714285714285715,0.21428571428571427,1.6666666666666667
minimax/minimax-m2.7,action_ambiguity,14,536.4827577361557,665577,76498,4683809,0,5425884,27.142857142857142,0.5,0.7619047857142858,0.6273809285714286,0.8698333333333333,0.5,0.35714285714285715,1.4
minimax/minimax-m2.7,tool_miss,14,681.1860083824323,728471,81908,6079006,0,6889385,28.833328571428574,0.8809524285714286,0.952381,0.9166667142857143,0.9273809523809523,0.9285714285714286,0.7857142857142857,1.1818181818181819
minimax/minimax-m2.7,tool_ambiguity,14,553.4309722549904,684523,74053,4838719,0,5597295,25.095235714285714,0.952381,0.9047619285714286,0.9285714285714286,0.9698333333333334,0.9285714285714286,0.7857142857142857,1.1818181818181819
moonshotai/kimi-k2.5,full_explicit,14,447.311151249811,2836319,27095,303872,0,3167286,19.023807142857144,0.8333333571428572,0.9761905000000001,0.9047619285714286,0.9,1.0,0.6428571428571429,1.5555555555555554
moonshotai/kimi-k2.5,goal_miss,14,452.98867945263004,2925549,27730,254208,0,3207487,19.69047857142857,0.7857142857142857,0.9285714285714286,0.8571428571428571,0.8345238095238096,0.7142857142857143,0.7142857142857143,1.0
moonshotai/kimi-k2.5,goal_ambiguity,14,495.1751953848769,3137829,27249,341120,0,3506198,21.071435714285712,0.8095238571428572,0.9047619285714286,0.8571428571428571,0.8535714285714285,0.8571428571428571,0.5714285714285714,1.5
moonshotai/kimi-k2.5,action_miss,14,689.2319541078396,4185840,35732,658688,0,4880260,25.83335,0.2857142857142857,0.7619047142857143,0.5202381428571429,0.7452142857142857,0.35714285714285715,0.07142857142857142,5.0
moonshotai/kimi-k2.5,action_ambiguity,14,720.0295187868409,4414756,39605,643968,0,5098329,26.714285714285715,0.5238095714285714,0.8095238571428572,0.6630951428571429,0.8261904761904761,0.5714285714285714,0.2857142857142857,2.0
moonshotai/kimi-k2.5,tool_miss,14,542.8213238955315,3161934,30881,650752,0,3843567,20.19047857142857,0.6190476428571429,0.952381,0.7857142142857143,0.75,0.7142857142857143,0.5,1.4285714285714286
moonshotai/kimi-k2.5,tool_ambiguity,14,468.38117712247004,2982287,29678,304512,0,3316477,20.214292857142855,0.8333333571428572,0.8809524285714286,0.8571428571428571,0.8833333333333334,0.9285714285714286,0.5,1.8571428571428572
openai/gpt-5.4,full_explicit,14,753.6417616982566,703546,41081,4253440,0,4998067,28.00000714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openai/gpt-5.4,goal_miss,14,760.9419463998341,683807,42418,4320256,0,5046481,28.642857142857142,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9666666666666667,0.8571428571428571,0.7142857142857143,1.2
openai/gpt-5.4,goal_ambiguity,14,781.6559603835951,736612,43914,4403328,0,5183854,29.452385714285715,0.8809524285714286,0.9285714285714286,0.9047618571428571,0.9238095238095239,0.9285714285714286,0.6428571428571429,1.4444444444444444
openai/gpt-5.4,action_miss,14,706.6782051526453,802205,46965,3837440,0,4686610,29.54762142857143,0.3809524285714286,0.8095238571428572,0.5916666428571429,0.7809285714285714,0.42857142857142855,0.21428571428571427,2.0
openai/gpt-5.4,action_ambiguity,14,714.7226727411354,921378,54358,3764224,0,4739960,30.238092857142856,0.452381,0.8333333571428572,0.6392856428571428,0.7738095238095238,0.5,0.2857142857142857,1.75
openai/gpt-5.4,tool_miss,14,729.1123931991898,674623,40832,4119936,0,4835391,26.714292857142855,0.7142856428571429,0.9761905000000001,0.8416667142857143,0.8404761904761905,0.9285714285714286,0.5714285714285714,1.6250000000000002
openai/gpt-5.4,tool_ambiguity,14,761.0500604253438,774492,43970,4228736,0,5047198,29.261907142857144,0.8809524285714286,0.9285714285714286,0.9047618571428571,0.9380952380952381,0.9285714285714286,0.6428571428571429,1.4444444444444444
openai/gpt-5.4-mini,full_explicit,14,437.7532629040856,536060,29105,3169280,0,3734445,21.857135714285715,0.9761905000000001,1.0,0.9880952142857142,0.980952380952381,1.0,0.9285714285714286,1.0769230769230769
openai/gpt-5.4-mini,goal_miss,14,552.4121957851711,641421,29444,4041728,0,4712593,24.54762142857143,0.8809524285714286,0.8571428571428571,0.8690475714285714,0.9380952380952381,0.8571428571428571,0.6428571428571429,1.3333333333333333
openai/gpt-5.4-mini,goal_ambiguity,14,506.7115824798064,564494,32918,3725312,0,4322724,24.333321428571427,0.8571428571428571,0.9047619285714286,0.8809523571428571,0.8916666666666666,0.9285714285714286,0.6428571428571429,1.4444444444444444
openai/gpt-5.4-mini,action_miss,14,665.4313320178215,726679,30265,4919808,0,5676752,27.88095714285714,0.21428571428571427,0.7380952142857142,0.472619,0.796404761904762,0.2857142857142857,0.0,
openai/gpt-5.4-mini,action_ambiguity,14,719.8608821465739,838217,39510,5263360,0,6141087,31.357135714285715,0.42857142857142855,0.8095237857142857,0.6154761428571429,0.8019761904761905,0.5,0.21428571428571427,2.3333333333333335
openai/gpt-5.4-mini,tool_miss,14,512.072072917503,608659,28339,3731456,0,4368454,23.2143,0.7142857142857143,1.0,0.8571428571428571,0.7845238095238096,0.7857142857142857,0.6428571428571429,1.222222222222222
openai/gpt-5.4-mini,tool_ambiguity,14,537.7836717490385,655748,30610,3901440,0,4587798,24.476192857142856,0.7857142857142857,0.8809523571428571,0.8333333571428572,0.8702380952380953,0.7857142857142857,0.5714285714285714,1.375
