model,category,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
anthropic/claude-opus-4.6,01_information_intelligence_agent,14,62.58404761904762,1587055,34913,2737201,0,4359169,17.571428571428573,0.7857142857142857,0.9285714285714286,0.8357142857142856,0.9464285714285714,0.8571428571428571,0.7142857142857143,1.2
anthropic/claude-opus-4.6,02_content_creation_pipeline_agent,21,110.46774603174602,5732838,121132,9834687,0,15688657,33.41269523809524,0.9365079523809524,0.9206349047619048,0.9285713809523809,0.9880952380952381,0.9523809523809523,0.8571428571428571,1.1111111111111112
anthropic/claude-opus-4.6,03_platform_automation_agent,21,82.60546031746031,2943917,93964,7180035,0,10217916,31.904761904761905,0.984127,1.0,0.9920634761904762,0.9873015873015873,1.0,0.9523809523809523,1.05
anthropic/claude-opus-4.6,04_personal_ai_second_brain_agent,21,59.75657142857143,2387338,55316,3617558,0,6060212,16.920638095238093,0.6666666666666666,0.8095238095238095,0.7380952380952381,0.9047619047619048,0.5238095238095238,0.5238095238095238,1.0
anthropic/claude-opus-4.6,05_self_healing_devops_agent,21,93.66593650793651,4240464,86928,7906755,0,12234147,26.746019047619047,0.984127,0.9523809523809523,0.9682539523809524,0.9904761904761905,0.9523809523809523,0.9047619047619048,1.0526315789473684
anthropic/claude-sonnet-4.6,01_information_intelligence_agent,14,66.30547619047618,4037656,41065,0,0,4078721,16.571428571428573,0.7142857142857143,0.8571428571428571,0.7785714285714286,0.9285714285714286,0.7142857142857143,0.7142857142857143,1.0
anthropic/claude-sonnet-4.6,02_content_creation_pipeline_agent,21,131.28471428571427,16354227,135513,192388,0,16682128,34.96823809523809,0.9047619523809525,0.9523809523809523,0.9285713809523809,0.9365079365079365,0.9523809523809523,0.7619047619047619,1.25
anthropic/claude-sonnet-4.6,03_platform_automation_agent,21,120.6249365079365,12858028,106697,577186,0,13541911,31.825390476190478,0.8412699047619048,1.0,0.9206348571428571,0.9407301587301587,1.0,0.6190476190476191,1.6153846153846154
anthropic/claude-sonnet-4.6,04_personal_ai_second_brain_agent,21,65.73230158730159,6802379,66413,0,0,6868792,17.952380952380953,0.6984127142857143,0.7936507619047619,0.746031761904762,0.9111111111111111,0.6190476190476191,0.5714285714285714,1.0833333333333335
anthropic/claude-sonnet-4.6,05_self_healing_devops_agent,21,99.25985714285714,9638557,80309,0,0,9718866,22.79364761904762,0.8571429047619048,0.8888889047619047,0.8730158095238094,0.9111111111111111,0.8095238095238095,0.6190476190476191,1.3076923076923077
