model,latency_s,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k,task,safe,score,progress,tokens_in,tokens_out,cache_read,cache_write,tokens_total
anthropic/claude-opus-4.6,3418.121,0.857143,0.795918,1.0769237534519887,0.877551,0.921769,0.896599,0.964626,16891612,392253,31276236,0,48560101
anthropic/claude-sonnet-4.6,3882.66,0.826531,0.653061,1.2656260288089474,0.809524,0.901361,0.854422,0.925395,49690847,429997,769574,0,50890418
bailian/qwen3.6-plus,3213.745,0.877551,0.785714,1.1168834970485444,0.884354,0.908163,0.895238,0.968537,44163573,632766,0,0,44796339
deepseek/deepseek-v3.2,0.0,0.55102,0.326531,1.6874967460976138,0.462585,0.897959,0.679592,0.716037,8880518,322646,36679360,0,45882524
google/gemini-3.1-pro-preview,2722.922,0.877551,0.816327,1.0749993568753697,0.897959,0.92517,0.911735,0.972786,9453468,917046,24013061,0,34383575
minimax/minimax-m2.7,3905.869,0.795918,0.683673,1.1641793664515054,0.819728,0.87415,0.845918,0.94733,4677303,518980,34306929,0,39503212
moonshotai/kimi-k2.5,3815.939,0.734694,0.469388,1.5652168355390421,0.670068,0.887755,0.777891,0.827548,23644514,217970,3157120,0,27019604
openai/gpt-5.4,5207.803,0.795918,0.581633,1.3684196048023411,0.738095,0.904762,0.819898,0.889112,5296663,313538,28927360,0,34537561
openai/gpt-5.4-mini,3932.025,0.734694,0.520408,1.4117653840832578,0.693878,0.884354,0.788095,0.866265,4571278,220191,28752384,0,33543853
volcengine/doubao-seed-2.0-pro,3954.725,0.816327,0.653061,1.2500011484378948,0.765306,0.908163,0.835204,0.910827,5458285,301473,45950528,0,51710286
z-ai/glm-5-turbo,4010.804,0.836735,0.663265,1.2615395053259255,0.829932,0.894558,0.859184,0.919214,1001527,257571,46627885,0,47886983
