model,dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
anthropic/claude-sonnet-4.6,full_explicit,14,,210,30284,1189509,1017746,1245705,24.557142857142857,0.9714285714285714,1.0,0.9142857142857144,0.9771428571428571,0.9285714285714286,0.7857142857142857,1.1818181818181819
anthropic/claude-sonnet-4.6,goal_miss,14,,210,33953,1291338,1001745,1338658,30.071428571428573,0.8857142857142858,0.9285714285714286,0.9064285714285714,0.9500000000000001,1.0,0.5,2.0
anthropic/claude-sonnet-4.6,goal_ambiguity,14,,210,33891,1299969,1002827,1347251,30.571428571428573,0.9142857142857144,0.9857142857142858,0.9492857142857142,0.965,1.0,0.7142857142857143,1.4
anthropic/claude-sonnet-4.6,action_miss,14,,210,34286,1232794,994751,1278472,26.75714285714286,0.37142857142857144,0.8428571428571429,0.6035714285714285,0.7297571428571429,0.5,0.07142857142857142,7.0
anthropic/claude-sonnet-4.6,action_ambiguity,14,,210,34671,1287308,997306,1339290,29.242857142857144,0.5285714285714286,0.8142857142857143,0.6678571428571428,0.8150000000000001,0.5714285714285714,0.35714285714285715,1.5999999999999999
anthropic/claude-sonnet-4.6,tool_miss,14,,210,33437,1264555,1000795,1310332,29.114285714285717,0.7714285714285715,0.9285714285714286,0.8492857142857143,0.8531000000000001,0.8571428571428571,0.42857142857142855,2.0
anthropic/claude-sonnet-4.6,tool_ambiguity,14,,207,32760,1308430,988748,1356504,29.814285714285713,0.9428571428571428,0.9571428571428572,0.9500000000000001,0.9492857142857144,1.0,0.7857142857142857,1.2727272727272727
moonshotai/kimi-k2.5,full_explicit,14,,830105,23246,139648,0,905924,23.214285714285715,0.9428571428571428,0.9714285714285714,0.8857142857142858,0.9878571428571429,0.9285714285714286,0.7857142857142857,1.1818181818181819
moonshotai/kimi-k2.5,goal_miss,14,,109443,34340,966144,0,1015856,22.97142857142857,1.0,0.9285714285714286,0.8928571428571429,1.0,0.8571428571428571,0.8571428571428571,1.0
moonshotai/kimi-k2.5,goal_ambiguity,14,,104925,35536,954880,0,1005693,21.771428571428572,0.9571428571428572,0.9285714285714286,0.8714285714285713,0.96,0.8571428571428571,0.7857142857142857,1.0909090909090908
