model,category,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
anthropic/claude-sonnet-4.6,01_information_intelligence_agent,14,,210,38673,1230453,1002044,1285211,23.885714285714283,0.6714285714285715,0.8571428571428571,0.6835714285714286,0.9035714285714286,0.6428571428571429,0.42857142857142855,1.5000000000000002
anthropic/claude-sonnet-4.6,02_content_creation_pipeline_agent,21,,315,64560,2154258,1504569,2222483,34.55238095238095,0.7428571428571429,0.9619047619047618,0.8523809523809524,0.839047619047619,0.9047619047619048,0.5714285714285714,1.5833333333333335
anthropic/claude-sonnet-4.6,03_platform_automation_agent,21,,312,47973,1817271,1482342,1894200,36.46666666666666,0.8666666666666666,0.9523809523809523,0.9095238095238096,0.9219047619047619,1.0,0.38095238095238093,2.625
anthropic/claude-sonnet-4.6,04_personal_ai_second_brain_agent,21,,315,37156,1763511,1515735,1816015,23.323809523809523,0.6952380952380952,0.8952380952380953,0.7952380952380952,0.9028571428571429,0.7142857142857143,0.5714285714285714,1.25
anthropic/claude-sonnet-4.6,05_self_healing_devops_agent,21,,315,44920,1908410,1499228,1998303,23.152380952380952,0.8380952380952381,0.9238095238095237,0.8809523809523809,0.8933333333333334,0.8571428571428571,0.6190476190476191,1.3846153846153846
moonshotai/kimi-k2.5,01_information_intelligence_agent,14,,156721,30775,743808,0,899515,15.757142857142856,0.7428571428571429,0.8857142857142858,0.38571428571428573,0.9357142857142857,0.42857142857142855,0.35714285714285715,1.2
moonshotai/kimi-k2.5,02_content_creation_pipeline_agent,21,,367209,80591,1522944,0,1753373,31.885714285714286,0.7523809523809524,0.8761904761904761,0.8142857142857144,0.8761904761904761,0.8571428571428571,0.5714285714285714,1.5
moonshotai/kimi-k2.5,03_platform_automation_agent,21,,343358,40795,1128192,0,1361163,23.18095238095238,0.8571428571428571,1.0,0.9285714285714286,0.8920761904761905,0.9047619047619048,0.7619047619047619,1.1875
moonshotai/kimi-k2.5,04_personal_ai_second_brain_agent,21,,256867,46814,1159040,0,1380216,16.857142857142858,0.6666666666666666,0.8095238095238095,0.7380952380952381,0.9028571428571429,0.5714285714285714,0.5238095238095238,1.0909090909090908
moonshotai/kimi-k2.5,05_self_healing_devops_agent,21,,349316,41391,1388672,0,1626191,25.495238095238093,0.9047619047619048,0.8666666666666666,0.8857142857142858,0.9428571428571428,0.9047619047619048,0.7142857142857143,1.2666666666666666
openai/gpt-5.1,01_information_intelligence_agent,14,,366740,18183,749696,0,810093,20.842857142857145,0.5571428571428572,0.9285714285714286,0.2714285714285714,0.8035714285714286,0.42857142857142855,0.14285714285714285,3.0
openai/gpt-5.1,02_content_creation_pipeline_agent,21,,778236,78545,1280896,0,1428708,34.285714285714285,0.3904761904761904,0.7333333333333334,0.5619047619047619,0.5838095238095238,0.6666666666666666,0.14285714285714285,4.666666666666667
openai/gpt-5.1,03_platform_automation_agent,21,,661735,40216,1056768,0,1208371,25.361904761904764,0.5428571428571429,1.0,0.7714285714285714,0.6736952380952381,0.8095238095238095,0.19047619047619047,4.25
openai/gpt-5.1,04_personal_ai_second_brain_agent,21,,569197,36112,1055872,0,1204218,17.8,0.4095238095238095,0.8571428571428571,0.6333333333333334,0.7523809523809524,0.5238095238095238,0.14285714285714285,3.666666666666667
openai/gpt-5.1,05_self_healing_devops_agent,21,,635158,94825,998656,0,1266820,14.561904761904762,0.37142857142857144,0.9142857142857143,0.6428571428571429,0.5657142857142857,0.47619047619047616,0.23809523809523808,2.0
openai/gpt-5.4,01_information_intelligence_agent,14,,459111,17741,707456,0,879464,21.97142857142857,0.7285714285714285,0.8714285714285713,0.37142857142857144,0.9321428571428572,0.42857142857142855,0.35714285714285715,1.2
openai/gpt-5.4,02_content_creation_pipeline_agent,21,,1090948,77794,1446528,0,1720759,30.18095238095238,0.8,0.9333333333333333,0.8666666666666666,0.9133333333333333,0.9047619047619048,0.42857142857142855,2.111111111111111
openai/gpt-5.4,03_platform_automation_agent,21,,884372,28963,1126400,0,1348875,31.066666666666666,0.8285714285714285,1.0,0.9142857142857143,0.913,0.9047619047619048,0.6666666666666666,1.3571428571428572
openai/gpt-5.4,04_personal_ai_second_brain_agent,21,,787957,27319,1140352,0,1324919,22.40952380952381,0.6380952380952382,0.7714285714285714,0.7047619047619048,0.8742857142857142,0.5238095238095238,0.5238095238095238,1.0
openai/gpt-5.4,05_self_healing_devops_agent,21,,1027879,37245,1340672,0,1582199,25.83809523809524,0.7809523809523808,0.8571428571428571,0.819047619047619,0.8476190476190476,0.7142857142857143,0.5238095238095238,1.3636363636363635
openai/gpt-5.4-mini,01_information_intelligence_agent,14,,367481,11887,690944,0,788997,15.014285714285714,0.7857142857142857,0.9571428571428572,0.42857142857142855,0.9392857142857143,0.5,0.2857142857142857,1.75
openai/gpt-5.4-mini,02_content_creation_pipeline_agent,21,,801576,41035,1372672,0,1478003,29.476190476190474,0.48571428571428577,0.9238095238095237,0.7047619047619048,0.7047619047619048,0.7142857142857143,0.14285714285714285,5.0
openai/gpt-5.4-mini,03_platform_automation_agent,21,,685307,24390,1142912,0,1281279,25.20952380952381,0.7714285714285714,0.980952380952381,0.8761904761904761,0.8520761904761904,0.9523809523809523,0.5238095238095238,1.818181818181818
openai/gpt-5.4-mini,04_personal_ai_second_brain_agent,21,,623325,15972,1122944,0,1237826,17.34285714285714,0.6095238095238096,0.8666666666666666,0.7380952380952381,0.8438095238095238,0.6190476190476191,0.47619047619047616,1.3
